Latitude: 39.20742653, Longitude: 117.22632266, Heading: 75.10000000, Status: 2
Latitude: 39.20742664, Longitude: 117.22632323, Heading: 75.10000000, Status: 2
Latitude: 39.20742676, Longitude: 117.22632376, Heading: 75.10000000, Status: 2
Latitude: 39.20742687, Longitude: 117.22632428, Heading: 75.10000000, Status: 2
Latitude: 39.20742696, Longitude: 117.22632476, Heading: 75.09000000, Status: 2
Latitude: 39.20742706, Longitude: 117.22632522, Heading: 75.10000000, Status: 2
Latitude: 39.20742715, Longitude: 117.22632566, Heading: 75.10000000, Status: 2
Latitude: 39.20742724, Longitude: 117.22632607, Heading: 75.09000000, Status: 2
Latitude: 39.20742733, Longitude: 117.22632646, Heading: 75.09000000, Status: 2
Latitude: 39.20742740, Longitude: 117.22632683, Heading: 75.09000000, Status: 2
Latitude: 39.20742748, Longitude: 117.22632717, Heading: 75.08000000, Status: 2
Latitude: 39.20742755, Longitude: 117.22632750, Heading: 75.08000000, Status: 2
Latitude: 39.20742762, Longitude: 117.22632781, Heading: 75.08000000, Status: 2
Latitude: 39.20742769, Longitude: 117.22632811, Heading: 75.08000000, Status: 2
Latitude: 39.20742774, Longitude: 117.22632845, Heading: 75.07000000, Status: 2
Latitude: 39.20742782, Longitude: 117.22632880, Heading: 75.08000000, Status: 2
Latitude: 39.20742790, Longitude: 117.22632919, Heading: 75.07000000, Status: 2
Latitude: 39.20742800, Longitude: 117.22632961, Heading: 75.07000000, Status: 2
Latitude: 39.20742809, Longitude: 117.22633006, Heading: 75.07000000, Status: 2
Latitude: 39.20742820, Longitude: 117.22633055, Heading: 75.06000000, Status: 2
Latitude: 39.20742831, Longitude: 117.22633107, Heading: 75.06000000, Status: 2
Latitude: 39.20742843, Longitude: 117.22633162, Heading: 75.05000000, Status: 2
Latitude: 39.20742855, Longitude: 117.22633220, Heading: 75.05000000, Status: 2
Latitude: 39.20742868, Longitude: 117.22633281, Heading: 75.05000000, Status: 2
Latitude: 39.20742879, Longitude: 117.22633345, Heading: 75.05000000, Status: 2
Latitude: 39.20742893, Longitude: 117.22633412, Heading: 75.05000000, Status: 2
Latitude: 39.20742907, Longitude: 117.22633481, Heading: 75.04000000, Status: 2
Latitude: 39.20742921, Longitude: 117.22633552, Heading: 75.02000000, Status: 2
Latitude: 39.20742936, Longitude: 117.22633625, Heading: 74.93000000, Status: 2
Latitude: 39.20742952, Longitude: 117.22633700, Heading: 74.86000000, Status: 2
Latitude: 39.20742967, Longitude: 117.22633776, Heading: 74.82000000, Status: 2
Latitude: 39.20742983, Longitude: 117.22633852, Heading: 74.79000000, Status: 2
Latitude: 39.20742999, Longitude: 117.22633929, Heading: 74.80000000, Status: 2
Latitude: 39.20743015, Longitude: 117.22634006, Heading: 74.79000000, Status: 2
Latitude: 39.20743032, Longitude: 117.22634085, Heading: 74.79000000, Status: 2
Latitude: 39.20743048, Longitude: 117.22634162, Heading: 74.79000000, Status: 2
Latitude: 39.20743064, Longitude: 117.22634239, Heading: 74.79000000, Status: 2
Latitude: 39.20743079, Longitude: 117.22634315, Heading: 74.79000000, Status: 2
Latitude: 39.20743095, Longitude: 117.22634389, Heading: 74.79000000, Status: 2
Latitude: 39.20743110, Longitude: 117.22634464, Heading: 74.79000000, Status: 2
Latitude: 39.20743126, Longitude: 117.22634537, Heading: 74.78000000, Status: 2
Latitude: 39.20743140, Longitude: 117.22634609, Heading: 74.78000000, Status: 2
Latitude: 39.20743155, Longitude: 117.22634679, Heading: 74.78000000, Status: 2
Latitude: 39.20743170, Longitude: 117.22634746, Heading: 74.78000000, Status: 2
Latitude: 39.20743184, Longitude: 117.22634811, Heading: 74.78000000, Status: 2
Latitude: 39.20743197, Longitude: 117.22634874, Heading: 74.77000000, Status: 2
Latitude: 39.20743210, Longitude: 117.22634935, Heading: 74.77000000, Status: 2
Latitude: 39.20743222, Longitude: 117.22634993, Heading: 74.77000000, Status: 2
Latitude: 39.20743234, Longitude: 117.22635048, Heading: 74.77000000, Status: 2
Latitude: 39.20743245, Longitude: 117.22635102, Heading: 74.77000000, Status: 2
Latitude: 39.20743256, Longitude: 117.22635152, Heading: 74.78000000, Status: 2
Latitude: 39.20743267, Longitude: 117.22635200, Heading: 74.78000000, Status: 2
Latitude: 39.20743277, Longitude: 117.22635246, Heading: 74.79000000, Status: 2
