Timestamp,Latitude,Longitude,Heading,Speed,TargetLat,TargetLon,MPCSteer,PurePursuitSteer,SelectedSteer
5.4,39.2078,117.228,52.6193,10,39.2078,117.228,-1.82843,24.1094,-1.82843
5.5,39.2078,117.228,52.0548,10,39.2078,117.228,-1.89048,23.4844,-1.89048
5.6,39.2078,117.228,51.4711,10,39.2078,117.228,-1.96301,22.8248,-1.96301
5.7,39.2078,117.228,50.865,10,39.2078,117.228,-2.04786,22.1242,-2.04786
5.8,39.2078,117.228,50.2326,10,39.2078,117.228,-2.14742,21.3754,-2.14742
5.9,39.2078,117.228,49.5695,10,39.2078,117.228,-2.2649,20.5694,-2.2649
6,39.2078,117.228,48.8701,10,39.2078,117.228,-2.40467,19.6951,-2.40467
6.1,39.2078,117.228,48.1275,10,39.2078,117.228,-2.57268,18.7386,-2.57268
6.2,39.2078,117.228,47.3329,10,39.2078,117.228,-2.77733,17.682,-2.77733
6.3,39.2079,117.228,46.4751,10,39.2078,117.228,-3.03066,16.5021,-3.03066
6.4,39.2079,117.228,45.5388,10,39.2078,117.228,-3.35051,15.1673,-3.35051
6.5,39.2079,117.228,44.5035,10,39.2078,117.228,-3.76437,13.6343,-3.76437
6.6,39.2079,117.228,43.34,10,39.2078,117.228,-4.31621,11.8412,-4.31621
6.7,39.2079,117.228,42.0053,10,39.2078,117.228,-5.0806,9.69704,-5.0806
6.8,39.2079,117.228,40.4331,10,39.2078,117.228,-6.19268,7.06121,-6.19268
6.9,39.2079,117.228,38.5143,10,39.2078,117.228,-7.92118,3.70586,-7.92118
7,39.2079,117.228,36.0538,10,39.2078,117.228,-10.873,-0.763146,-10.873
7.1,39.2079,117.228,32.6571,10,39.2078,117.228,-16.7105,-7.08442,-16.7105
7.2,39.2079,117.228,27.3481,10,39.2078,117.228,-26.929,-16.7963,-26.929
7.3,39.2079,117.228,18.3653,10,39.2078,117.228,-26.929,-31.0124,-26.929
7.4,39.2079,117.228,9.3825,10,39.2078,117.228,-26.929,-41.3447,-26.929
7.5,39.2079,117.228,0.399686,10,39.2078,117.228,-26.929,-48.5194,-26.929
7.6,39.2079,117.228,351.417,10,39.2078,117.228,-26.929,-53.4429,-26.929
7.7,39.2079,117.228,342.434,10,39.2078,117.228,26.929,-56.7885,26.929
7.8,39.2079,117.228,351.417,10,39.2078,117.228,-26.929,-52.7319,-26.929
7.9,39.2079,117.228,342.434,10,39.2078,117.228,26.929,-56.312,26.929
8,39.2079,117.228,351.417,10,39.2078,117.228,26.929,-51.9887,26.929
8.1,39.2079,117.228,0.399686,10,39.2078,117.228,-26.929,-45.3412,-26.929
8.2,39.2079,117.228,351.417,10,39.2078,117.228,-26.929,-51.2782,-26.929
8.3,39.2079,117.228,342.434,10,39.2078,117.228,26.929,-55.3338,26.929
8.4,39.2079,117.228,351.417,10,39.2078,117.228,-26.929,-50.4783,-26.929
8.5,39.2079,117.228,342.434,10,39.2078,117.228,0,-54.7931,0
8.6,39.2079,117.228,342.434,10,39.2078,117.228,26.929,-54.5035,26.929
8.7,39.2079,117.228,351.417,10,39.2078,117.228,-26.929,-49.2046,-26.929
8.8,39.2079,117.228,342.434,10,39.2078,117.228,26.929,-53.93,26.929
8.9,39.2079,117.228,351.417,10,39.2078,117.228,-26.929,-48.3294,-26.929
9,39.2079,117.228,342.434,10,39.2078,117.228,26.929,-53.3362,26.929
